,Term,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster
4720,cytoplasmic translation (GO:0002181),3.90E-36,1.10E-33,0,0,25.78981302,2102.72833,RPL4;RPL30;RPL32;RPL31;RPLP0;RPL11;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL18A;RPS3;RPL15;RPL18;RPL39;RPL17;RPL19;RPS7;RPL22;RPL35A;RPS26;RPS28;EIF3M;RPS29;RPL27A;RPL24;RPL26;RPL29;RPS23,3
4721,neutrophil degranulation (GO:0043312),1.33E-15,3.57E-13,0,0,4.235618597,145.0920666,SLC44A2;GMFG;MGST1;FPR2;ITGAL;AP2A2;PLAC8;C3;RAP1B;CNN2;RAP1A;ADGRE5;RAC1;PGLYRP1;S100A11;CD33;CD177;CD53;HSPA8;HGSNAT;FCER1G;CD300A;NFAM1;MCEMP1;EEF2;MMP8;SVIP;EEF1A1;FGR;CEACAM1;LRG1;PTPRC;TYROBP;BIN2;SLPI;SELL;TARM1;LCN2;PTPN6;PRTN3;CD47;HSPA1B;HSPA1A,3
4722,neutrophil activation involved in immune response (GO:0002283),1.79E-15,4.56E-13,0,0,4.200613485,142.64534,SLC44A2;GMFG;MGST1;FPR2;ITGAL;AP2A2;PLAC8;C3;RAP1B;CNN2;RAP1A;ADGRE5;RAC1;PGLYRP1;S100A11;CD33;CD177;CD53;HSPA8;HGSNAT;FCER1G;CD300A;NFAM1;MCEMP1;EEF2;MMP8;SVIP;EEF1A1;FGR;CEACAM1;LRG1;PTPRC;TYROBP;BIN2;SLPI;SELL;TARM1;LCN2;PTPN6;PRTN3;CD47;HSPA1B;HSPA1A,3
4723,neutrophil mediated immunity (GO:0002446),2.40E-15,5.83E-13,0,0,4.166182227,140.2521688,SLC44A2;GMFG;MGST1;FPR2;ITGAL;AP2A2;PLAC8;C3;RAP1B;CNN2;RAP1A;ADGRE5;RAC1;PGLYRP1;S100A11;CD33;CD177;CD53;HSPA8;HGSNAT;FCER1G;CD300A;NFAM1;MCEMP1;EEF2;MMP8;SVIP;EEF1A1;FGR;CEACAM1;LRG1;PTPRC;TYROBP;BIN2;SLPI;SELL;TARM1;LCN2;PTPN6;PRTN3;CD47;HSPA1B;HSPA1A,3
4724,ribosome assembly (GO:0042255),3.17E-14,7.35E-12,0,0,13.27195056,412.5309788,RPL5;RPL3;RPL10;RPS5;RPL11;RPSA;RPL23A;RPL6;RPS15;RPS14;RPS28;RPS27;RPS19;RPL24;RPS10;NOP53,3
4725,ribonucleoprotein complex assembly (GO:0022618),1.86E-11,4.12E-09,0,0,6.324253512,156.2722694,RPL5;RPL3;RPL10;RPS5;RPL11;RPSA;RPL23A;RPL6;RPS15;RPS14;RPS28;RPS27;RPS19;SNRPG;RPL24;SRSF5;RPS10;SF3B1;NOP53;SNRPB;RPS23,3
4726,ribosomal small subunit biogenesis (GO:0042274),1.05E-10,2.23E-08,0,0,12.60835303,289.7046064,RPS15;RPS14;RPS28;RPS16;RPS27;RPS19;RPS7;RPS5;RPS6;RPSA;RPS10;RPS24,3
4727,ribosomal large subunit biogenesis (GO:0042273),6.96E-10,1.42E-07,0,0,9.604018913,202.5009836,RPL5;RPL3;RPL10;RPL11;RPL35A;RPL23A;RPL10A;RPL6;RPL7;RPL7A;RPL24;RPL26;NOP53,3
4728,ribosomal small subunit assembly (GO:0000028),2.31E-09,4.53E-07,0,0,19.90792584,395.8889366,RPS15;RPS14;RPS28;RPS27;RPS19;RPS5;RPSA;RPS10,3
4729,positive regulation of cellular amide metabolic process (GO:0034250),6.42E-08,1.21E-05,0,0,8.388621978,138.9320057,RPS4X;RBM3;RPL5;BCL3;RACK1;FAM129A;EIF3E;RPL26;EEF2;THBS1;TNFRSF1A,3
4730,ribosomal large subunit assembly (GO:0000027),1.93E-07,3.52E-05,0,0,12.20163197,188.645899,RPL5;RPL3;RPL10;RPL11;RPL24;RPL23A;NOP53;RPL6,3
4731,cytokine-mediated signaling pathway (GO:0019221),2.55E-07,4.49E-05,0,0,2.610167722,39.62324001,IFITM3;SP100;CSF3R;IFITM2;CEBPD;RPLP0;F13A1;ADIPOR1;SAMHD1;PSMA7;IKBKB;RAP1B;CNN2;SOCS3;RPS27A;JUNB;CCR2;HSPA8;TGFB1;IFNGR1;IL1R2;TALDO1;FOS;TNFRSF1A;IL17RA;HCK;CEACAM1;IL1B;LCN2;PTPN6;PRTN3;IRF5;PLCB1;UBA52;MYD88,3
4732,cellular response to cytokine stimulus (GO:0071345),5.49E-07,9.34E-05,0,0,2.896886364,41.75995244,CSF3R;CEBPD;F13A1;CIB1;ZFP36L2;IKBKB;SOCS3;ZFP36;SBNO2;RPS3;RPS27A;JUNB;CCR2;PTPN18;HSPA8;XBP1;TGFB1;IFNGR1;IL1R2;RPL13A;FOS;TNFRSF1A;HCK;IL1B;LCN2;PTPN6;PRTN3;UBA52,3
4733,positive regulation of translation (GO:0045727),8.26E-07,0.000136036,0,0,6.583475477,92.20940536,RPS4X;RBM3;RPL5;RPS9;TGFB1;BCL3;FAM129A;EIF3E;RPL26;EEF2;THBS1,3
4734,regulation of translation (GO:0006417),3.31E-06,0.000528446,0,0,3.755993018,47.39093653,RPL5;BTG2;RPL10;H3F3A;FAM129A;RPL13A;EEF2;THBS1;EIF1;RPS4X;RBM3;BCL3;RACK1;RPS3;EIF3H;EIF3E;RPL26,3
4735,transforming growth factor beta receptor signaling pathway (GO:0007179),4.99E-06,0.000771935,0,0,6.140431672,74.96046178,KLF10;DUSP22;JUN;TGFB1;HPGD;GCNT2;ZYX;FOS;RPS27A;UBA52,3
4736,positive regulation of cytokine production (GO:0001819),5.11E-06,0.000767276,0,0,3.637024914,44.31310109,FAM49B;CEBPB;TGFB1;NFAM1;IL17RA;C3;FGR;IL1B;RARA;RPS3;FLOT1;IRF5;PLCB1;HSPA1B;MYD88;CCR2;HSPA1A,3
4737,positive regulation of cellular biosynthetic process (GO:0031328),8.07E-06,0.001175958,0,0,4.137115839,48.51971467,RPL5;SCARB1;FAM129A;EEF2;THBS1;KLF2;RPS4X;RBM3;IL1B;BCL3;EIF3E;RPL26;LDLR;CD244,3
4738,regulation of cell proliferation (GO:0042127),8.65E-06,0.001226148,0,0,2.233260912,26.03522818,BTG2;BTG1;HMGB2;SLA;CIB1;THBS1;RPS4X;RPS15A;GCNT2;HES1;IGFBP6;JUNB;IER5;S100A11;CD33;LYN;CDKN2D;KLF10;JUN;RPS9;XBP1;JUND;TGFB1;TNFRSF1A;DUSP22;FGR;HCK;IL1B;RARA;PTPN6;PRTN3;CD47;SLC25A5;HSPA1B;HSPA1A,3
4739,cellular response to transforming growth factor beta stimulus (GO:0071560),9.59E-06,0.001322187,0,0,5.149451115,59.50259678,KLF10;DUSP22;JUN;TGFB1;HPGD;GCNT2;ZYX;FOS;RPS27A;UBA52;ZFP36L2,3
4740,positive regulation of protein modification process (GO:0031401),1.07E-05,0.001438728,0,0,4.036210575,46.19036888,LYN;TGFB1;FAM129A;PPP2R5A;CIB1;FPR2;SVIP;C3;CCND3;IL1B;FLOT1;RACK1;RAC1;RAMP1,3
4741,regulation of cytokine-mediated signaling pathway (GO:0001959),2.25E-05,0.002942245,0,0,5.195749877,55.608056,IKBKB;SOCS3;PTPN1;PTPRC;IFNGR1;RACK1;PTPN6;RPS27A;UBA52;TNFRSF1A,3
4742,positive regulation of cellular protein metabolic process (GO:0032270),2.48E-05,0.003158737,0,0,5.139274334,54.50862096,RPS4X;RBM3;RPL5;TGFB1;BCL3;FAM129A;EIF3E;RPL26;EEF2;THBS1,3
4743,regulation of phagocytosis (GO:0050764),2.56E-05,0.003191156,0,0,7.880220646,83.30483614,FGR;SCARB1;HCK;FCER1G;IL1B;RACK1;PRTN3,3
4744,negative regulation of lipid metabolic process (GO:0045833),3.76E-05,0.004570873,0,0,12.44245365,126.7632857,BSCL2;CEACAM1;IL1B;APOC1;PPP2R5A,3
4745,positive regulation of cellular process (GO:0048522),5.01E-05,0.005939663,0,0,2.364066194,23.41013381,CIB1;THBS1;RPS4X;RPS15A;RPS19;RACK1;GCNT2;FLOT1;HES1;JUNB;IER5;LYN;JUN;RPS9;XBP1;JUND;TGFB1;H3F3A;SORL1;HCK;IL1B;RARA;PTPN6;PRTN3;CD47;SLC25A5,3
4746,positive regulation of macromolecule biosynthetic process (GO:0010557),5.37E-05,0.006229849,0,0,3.967663542,39.0092639,RPS4X;RBM3;RPL5;XBP1;TGFB1;BCL3;FAM129A;EIF3E;RPL26;EEF2;THBS1;SVIP,3
4747,regulation of erythrocyte differentiation (GO:0045646),5.90E-05,0.006685397,0,0,8.596604341,83.72019021,LYN;ZFP36;SPI1;HMGB2;HSPA1B;HSPA1A,3
4748,regulation of DNA binding (GO:0051101),0.000119951,0.013306694,0,0,6.244703154,56.37986856,SP100;JUN;TGFB1;BCL3;HMGB2;ID3;HES1,3
4749,negative regulation of gene expression (GO:0010629),0.00014476,0.015717243,0,0,2.138735167,18.90734537,BTG2;SPI1;HMGB2;AHR;ZFP36L2;ZFP36;SBNO2;RACK1;RPS3;HES1;JARID2;XDH;RPS13;KLF10;HSPA8;JUN;TGFB1;H3F3A;ARID5A;RPL13A;RPS26;BCL3;RARA;ID3;PLCB1;PFDN5;HSPA1B;HSPA1A,3
4750,regulation of endothelial cell development (GO:1901550),0.000179167,0.01904773,0,0,23.64066194,203.9524876,IKBKB;IL1B;TNFRSF1A,3
4751,negative regulation of leukocyte degranulation (GO:0043301),0.000179167,0.018659001,0,0,23.64066194,203.9524876,CEACAM1;CD300A;CCR2,3
4752,regulation of tumor necrosis factor-mediated signaling pathway (GO:0010803),0.000191346,0.019528763,0,0,5.806478371,49.71174503,IKBKB;RACK1;RPS27A;UBA52;HSPA1B;TNFRSF1A;HSPA1A,3
4753,ATP metabolic process (GO:0046034),0.000191346,0.019145846,0,0,5.806478371,49.71174503,HSPA8;TGFB1;ATP5C1;UQCRH;NADK;HSPA1B;HSPA1A,3
4754,response to cAMP (GO:0051591),0.000207504,0.020363366,0,0,6.919218128,58.67744633,RAP1B;JUN;RAP1A;JUND;AHR;JUNB,3
4755,apoptotic cell clearance (GO:0043277),0.000227204,0.021875928,0,0,8.755800718,73.45819432,SCARB1;RAC2;RARA;RAC1;THBS1,3
4756,transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178),0.000266427,0.025177381,0,0,3.586859053,29.52131746,KLF10;DUSP22;JUN;TGFB1;HPGD;UBE2D3;GCNT2;ZYX;FOS;RPS27A;UBA52,3
4757,lipopolysaccharide-mediated signaling pathway (GO:0031663),0.000293413,0.027223395,0,0,11.82033097,96.14573597,LYN;HCK;TGFB1;IL1B,3
4758,"positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)",0.000293413,0.026737263,0,0,11.82033097,96.14573597,BTG2;ZFP36;PABPC1;ZFP36L2,3
4759,negative regulation of nitrogen compound metabolic process (GO:0051172),0.00030862,0.027629648,0,0,20.26342452,163.7973353,TGFB1;APOC1;LDLR,3
4760,regulation of interleukin-23 production (GO:0032667),0.00030862,0.027153275,0,0,20.26342452,163.7973353,RAC1;MYD88;IL17RA,3
4761,negative regulation of MAP kinase activity (GO:0043407),0.000325124,0.028120473,0,0,5.338213986,42.8728185,DUSP22;LYN;PTPN1;CD300A;DUSP1;IL1B;SORL1,3
4762,dephosphorylation (GO:0016311),0.000328586,0.027946208,0,0,3.78250591,30.33839459,DUSP11;DUSP22;PTPN1;PTPN18;PTPRC;DUSP1;PTPRO;PPP2R5A;PTPN6;SSH2,3
4763,inflammatory response (GO:0006954),0.000341049,0.028530668,0,0,2.803240546,22.37963088,LYN;CEBPB;TGFB1;NFAM1;FPR2;FOS;MEFV;ITGAL;THBS1;TNFRSF1A;IKBKB;PRDX5;ADGRE5;IL1B;RAC1,3
4764,protein dephosphorylation (GO:0006470),0.000350319,0.028833533,0,0,3.752486022,29.85727689,DUSP11;DUSP22;PTPN1;PTPN18;PTPRC;DUSP1;PTPRO;PPP2R5A;PTPN6;SSH2,3
4765,negative regulation of protein phosphorylation (GO:0001933),0.000443951,0.035959996,0,0,3.16969769,24.46942378,LYN;CEACAM1;TGFB1;PTPRC;DUSP1;DDIT4;RACK1;FAM129A;CIB1;PTPN6;SAMSN1;XDH,3
4766,regulation of protein phosphorylation (GO:0001932),0.000492561,0.039274013,0,0,2.706946023,20.61581133,LYN;TGFB1;FAM129A;CIB1;FPR2;C3;FGR;CCND3;IL1B;CCDC88C;RACK1;FLOT1;RAC1;XDH;NOP53,3
4767,positive regulation of gene expression (GO:0010628),0.000516889,0.040579801,0,0,1.898602384,14.36801805,RPL5;SP100;SPI1;RPL11;FAM129A;HMGB2;AHR;THBS1;IKBKB;RPS4X;RBM3;LYL1;RPS3;SF3B1;NFE2;JUN;TGFB1;RPS7;H3F3A;FOS;EEF2;KLF2;IL1B;BCL3;RARA;EIF3E;RPL26;PLCB1;HSPA1B;MYD88;HSPA1A,3
4768,positive regulation of phosphorylation (GO:0042327),0.000532728,0.041189547,0,0,2.94094359,22.16736204,LYN;TGFB1;LMO4;FAM129A;CIB1;FPR2;THBS1;C3;CCND3;IL1B;RACK1;FLOT1;RAC1,3
4769,cellular response to organic substance (GO:0071310),0.000571243,0.043508239,0,0,3.528457006,26.34944505,PTPN18;JUN;TGFB1;JUND;IL1B;RACK1;CIB1;PTPN6;JUNB;RAMP1,3
4770,negative regulation of cytokine production (GO:0001818),0.000586935,0.044045999,0,0,3.833620855,28.52442759,SRGN;CEACAM1;PCBP2;RARA;RAC1;MEFV;RPS27A;UBA52;THBS1,3
4771,positive regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902895),0.000594246,0.043948349,0,0,9.953962921,73.94020259,JUN;TGFB1;SPI1;FOS,3
4772,regulation of endocytosis (GO:0030100),0.000685841,0.049997836,0,0,4.728132388,34.44380236,FGR;SCARB1;HCK;PTPN1;FLOT1;LDLR;CD177,3
4773,negative regulation of protein ubiquitination (GO:0031397),0.000695763,0.050006739,0,0,5.562508691,40.44222784,RPL5;RPS7;RPL11;RPS3;HSPA1B;HSPA1A,3
4774,negative regulation of phagocytosis (GO:0050765),0.000717649,0.050863353,0,0,15.76044129,114.0981932,CD300A;RACK1;PRTN3,3
4775,regulation of endothelial cell differentiation (GO:0045601),0.000717649,0.050166595,0,0,15.76044129,114.0981932,CEACAM1;BTG1;XDH,3
4776,engulfment of apoptotic cell (GO:0043652),0.000717649,0.049488668,0,0,15.76044129,114.0981932,RAC2;RAC1;THBS1,3
4777,regulation of cell cycle (GO:0051726),0.000725237,0.04934512,0,0,2.845635233,20.57113171,JUN;JUND;TGFB1;HPGD;NR4A1;RPS15A;PTPRC;STK24;RACK1;RARA;ID3;JUNB;NOP53,3
4778,cellular response to lipopolysaccharide (GO:0071222),0.000740689,0.049733359,0,0,4.111419468,29.63482331,LYN;HCK;ZFP36;SBNO2;XBP1;TGFB1;IL1B;HMGB2,3
4779,response to cytokine (GO:0034097),0.000760363,0.050391321,0,0,3.401534092,24.42884768,IFITM3;PTPN18;JUN;SP100;IFITM2;JUND;PTPN6;MEFV;JUNB;MYD88,3
4780,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",0.000907623,0.059379487,0,0,6.566850538,45.99869656,RPS14;RPS16;RPS19;RPSA;RPS24,3
4781,positive regulation of cell differentiation (GO:0045597),0.000947131,0.061179845,0,0,2.909619931,20.25698782,XBP1;JUN;CEACAM1;ZFP36;CEBPB;JUND;RAP1A;TGFB1;GLIPR2;IL1B;GCNT2;JUNB,3
4782,regulation of protein complex assembly (GO:0043254),0.00095792,0.061103323,0,0,4.472557664,31.08761352,HCK;HSPA8;TGFB1;RPS3;STXBP6;SVIP;NOP53,3
4783,interleukin-1-mediated signaling pathway (GO:0070498),0.000980841,0.061792953,0,0,3.940110323,27.29354091,IKBKB;IL1R2;IL1B;PLCB1;RPS27A;UBA52;PSMA7;MYD88,3
4784,negative regulation of inclusion body assembly (GO:0090084),0.001009166,0.062802102,0,0,14.18439716,97.85292726,SORL1;HSPA1B;HSPA1A,3
4785,positive regulation of nuclease activity (GO:0032075),0.001009166,0.06204545,0,0,14.18439716,97.85292726,PTPN1;HMGB2;HSPA1A,3
4786,negative regulation of cellular component organization (GO:0051129),0.001043302,0.063380621,0,0,5.157962605,35.41129187,HSPA8;RPL13A;SVIP;NOP53;HSPA1B;HSPA1A,3
4787,regulation of monocyte chemotaxis (GO:0090025),0.001066639,0.064036002,0,0,8.596604341,58.82864773,LYN;FPR2;PLA2G7;CCR2,3
4788,mRNA metabolic process (GO:0016071),0.001122315,0.066595045,0,0,3.859699908,26.21647777,ZFP36;PCBP2;SNRPG;SRSF5;ZFP36L2;HSPA1B;SNRPB;HSPA1A,3
4789,"negative regulation of transcription, DNA-templated (GO:0045892)",0.001220145,0.071567824,0,0,1.800640099,12.0801081,CEBPB;SP100;SPI1;RPL10;UBE2D3;HMGB2;AHR;RPS14;PRDX5;ZFP36;SBNO2;NFIL3;HES1;JARID2;RPS27A;JUNB;KLF10;HSPA8;JUN;JUND;TGFB1;ARID5A;KLF2;DUSP22;BCL3;RARA;ID3;PLCB1;UBA52;NOP53;PFDN5,3
4790,positive regulation of superoxide anion generation (GO:0032930),0.001365906,0.079207043,0,0,12.89490651,85.05399253,TGFB1;FPR2;CD177,3
4791,negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000059),0.001365906,0.078317076,0,0,12.89490651,85.05399253,RPL5;RPS7;RPL11,3
4792,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213),0.001365906,0.077446887,0,0,12.89490651,85.05399253,BTG2;ZFP36;PABPC1,3
4793,regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211),0.001365906,0.076595822,0,0,12.89490651,85.05399253,BTG2;ZFP36;PABPC1,3
4794,positive regulation of reactive oxygen species metabolic process (GO:2000379),0.001478328,0.081999014,0,0,5.910165485,38.51562267,TGFB1;FPR2;THBS1;XDH;CD177,3
4795,integrin-mediated signaling pathway (GO:0007229),0.001510745,0.082896035,0,0,4.808270225,31.23044806,FGR;HCK;CEACAM1;ZYX;ITGB7;CD47,3
4796,positive regulation of NF-kappaB transcription factor activity (GO:0051092),0.001708265,0.092736981,0,0,3.298697015,21.0202113,IKBKB;IL1B;RPS3;CIB1;RPS27A;UBA52;MYD88;HSPA1B;HSPA1A,3
4797,positive regulation of microtubule polymerization (GO:0031116),0.001754535,0.094246233,0,0,7.56501182,48.00417144,RPS3;RAC1;HSPA1B;HSPA1A,3
4798,regulation of vasculogenesis (GO:2001212),0.001792762,0.095296498,0,0,11.82033097,74.75174833,CEACAM1;RAP1A;XDH,3
4799,regulation of establishment of endothelial barrier (GO:1903140),0.001792762,0.09431406,0,0,11.82033097,74.75174833,IKBKB;IL1B;TNFRSF1A,3
4800,positive regulation of heterotypic cell-cell adhesion (GO:0034116),0.001792762,0.093351671,0,0,11.82033097,74.75174833,IL1B;GCNT2;FLOT1,3
4801,regulation of antigen receptor-mediated signaling pathway (GO:0050854),0.001792762,0.092408725,0,0,11.82033097,74.75174833,LYN;PTPRC;CD300A,3
4802,response to lipopolysaccharide (GO:0032496),0.001824141,0.093085893,0,0,3.030854095,19.11452484,SCARB1;ZFP36;SBNO2;XBP1;JUN;JUND;SLPI;HMGB2;JUNB;TNFRSF1A,3
4803,"DNA damage response, signal transduction by p53 class mediator (GO:0030330)",0.001879632,0.094967941,0,0,3.987581532,25.02877033,BTG2;SP100;BCL3;RPL26;RPS27A;UBA52;NDRG1,3
4804,positive regulation of cell proliferation (GO:0008284),0.001888358,0.094473419,0,0,2.113753303,13.25756181,LYN;RPS9;XBP1;TGFB1;CIB1;THBS1;RPS4X;HCK;RPS15A;PTPRC;IL1B;RARA;GCNT2;S100A6;PTPN6;PRTN3;HES1;CD47;SLC25A5,3
4805,peptidyl-tyrosine dephosphorylation (GO:0035335),0.002039292,0.101034054,0,0,7.274049827,45.06384829,PTPN1;DUSP1;PTPRO;PTPN6,3
4806,RNA catabolic process (GO:0006401),0.002277217,0.111736898,0,0,5.372877713,32.6928932,ZFP36;RNASE6;ZFP36L2;HSPA1B;HSPA1A,3
4807,cellular response to oxygen-containing compound (GO:1901701),0.002278962,0.110757553,0,0,2.407049216,14.64457216,LYN;XBP1;JUN;H2AFZ;HMGB2;FOS;AHR;RAP1B;PRDX5;ZFP36;SBNO2;RAP1A;RARA;LAMTOR4,3
4808,regulation of superoxide anion generation (GO:0032928),0.002294226,0.1104475,0,0,10.91107474,66.31052665,TGFB1;FPR2;CD177,3
4809,regulation of triglyceride biosynthetic process (GO:0010866),0.002294226,0.109415281,0,0,10.91107474,66.31052665,C3;SCARB1;LDLR,3
4810,negative regulation of ubiquitin-protein transferase activity (GO:0051444),0.002294226,0.108402176,0,0,10.91107474,66.31052665,RPL5;RPS7;RPL11,3
4811,regulation of pri-miRNA transcription from RNA polymerase II promoter (GO:1902893),0.002354439,0.110226629,0,0,7.004640574,42.38825158,JUN;SPI1;TGFB1;FOS,3
4812,regulation of MAP kinase activity (GO:0043405),0.002627261,0.121881022,0,0,3.761014399,22.34724595,LYN;PTPN1;TGFB1;CD300A;DUSP1;IL1B;SORL1,3
4813,cellular response to type I interferon (GO:0071357),0.002692262,0.123771301,0,0,4.298302171,25.43465912,IFITM3;SP100;IFITM2;IRF5;SAMHD1;MYD88,3
4814,type I interferon signaling pathway (GO:0060337),0.002692262,0.1226662,0,0,4.298302171,25.43465912,IFITM3;SP100;IFITM2;IRF5;SAMHD1;MYD88,3
4815,defense response to Gram-positive bacterium (GO:0050830),0.002692262,0.121580658,0,0,4.298302171,25.43465912,FGR;HMGB2;RNASE6;PGLYRP1;RPL39;MYD88,3
4816,negative regulation of peptidyl-tyrosine phosphorylation (GO:0050732),0.002701542,0.12092955,0,0,6.75447484,39.94550871,SOCS3;CD300A;PTPN6;SAMSN1,3
4817,regulation of vascular endothelial growth factor production (GO:0010574),0.002701542,0.119877989,0,0,6.75447484,39.94550871,C3;TGFB1;IL1B;CCR2,3
4818,regulation of stem cell differentiation (GO:2000736),0.00280086,0.123213695,0,0,3.718755811,21.85820987,SPI1;H3F3A;HES1;RPS27A;UBA52;ZFP36L2;PSMA7,3
4819,"regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900151)",0.002874412,0.125368604,0,0,10.13171226,59.28983783,ZFP36;PABPC1;ZFP36L2,3
4820,regulation of immune response (GO:0050776),0.002878612,0.124487771,0,0,2.439115914,14.26991851,LYN;ITGA4;CD300A;ITGAL;SAMHD1;C3;FGR;TYROBP;SELL;ITGB7;HCST;CD300LG;CD33,3
4821,interleukin-12-mediated signaling pathway (GO:0035722),0.003054546,0.130986115,0,0,5.029928072,29.1289389,CNN2;RAP1B;RPLP0;TALDO1;PLCB1,3
4822,negative regulation of protein modification by small protein conjugation or removal (GO:1903321),0.003054546,0.129894564,0,0,5.029928072,29.1289389,RPL5;RPL11;RPS3;HSPA1B;HSPA1A,3
4823,cellular response to interleukin-12 (GO:0071349),0.003054546,0.128821055,0,0,5.029928072,29.1289389,CNN2;RAP1B;RPLP0;TALDO1;PLCB1,3
4824,maturation of SSU-rRNA (GO:0030490),0.003054546,0.127765145,0,0,5.029928072,29.1289389,RPS14;RPS28;RPS16;RPS19;RPS24,3
4825,negative regulation of endocytosis (GO:0045806),0.003082142,0.127871291,0,0,6.521561914,37.70852262,APOC1;RACK1;PRTN3;RAC1,3
4826,regulation of defense response to virus by virus (GO:0050690),0.003082142,0.126840071,0,0,6.521561914,37.70852262,HCK;AP1S2;RAC1;AP2A2,3
4827,response to lipid (GO:0033993),0.003128102,0.127701618,0,0,3.017956843,17.40554999,CDKN2D;JUN;TGFB1;JUND;SLPI;HMGB2;RARA;JUNB;TNFRSF1A,3
4828,negative regulation of protein serine/threonine kinase activity (GO:0071901),0.003130935,0.126802878,0,0,4.171881519,24.05683567,LYN;PTPN1;CD300A;DUSP1;IL1B;SORL1,3
4829,negative regulation of cellular macromolecule biosynthetic process (GO:2000113),0.00320513,0.128785648,0,0,1.93549279,11.11554031,KLF10;HSPA8;JUN;BTG2;SPI1;TGFB1;ARID5A;HMGB2;RPL13A;AHR;SBNO2;BCL3;RACK1;RARA;RPS3;ID3;HES1;JARID2;PLCB1;PFDN5;S100A11,3
4830,cellular response to heat (GO:0034605),0.003351585,0.133618259,0,0,4.925137904,28.06502154,HSPA8;THBS1;IER5;HSPA1B;HSPA1A,3
4831,positive regulation of T cell activation (GO:0050870),0.003369263,0.133281786,0,0,4.111419468,23.40656256,FAM49B;XBP1;PTPRC;IL1B;CD47;CCR2,3
4832,TRIF-dependent toll-like receptor signaling pathway (GO:0035666),0.00349775,0.137300155,0,0,6.304176517,35.65412305,IKBKB;UBE2D3;RPS27A;UBA52,3
4833,protein alkylation (GO:0008213),0.00349775,0.136252062,0,0,6.304176517,35.65412305,EEF1A1;HSPA8;EEF2;SNRPB,3
4834,negative regulation of lymphocyte proliferation (GO:0050672),0.00349775,0.135219849,0,0,6.304176517,35.65412305,LYN;CEBPB;CD300A;LST1,3
4835,regulation of mast cell degranulation (GO:0043304),0.003537073,0.135711898,0,0,9.456264775,53.37546849,LYN;FGR;CD300A,3
4836,negative regulation of lipid catabolic process (GO:0050995),0.003537073,0.134699122,0,0,9.456264775,53.37546849,BSCL2;IL1B;APOC1,3
4837,negative regulation of RNA metabolic process (GO:0051253),0.003537073,0.133701351,0,0,9.456264775,53.37546849,RPS26;TGFB1;RPS13,3
4838,regulation of T cell mediated cytotoxicity (GO:0001914),0.003537073,0.132718253,0,0,9.456264775,53.37546849,FAM49B;CEACAM1;PTPRC,3
4839,regulation of cell junction assembly (GO:1901888),0.003537073,0.131749506,0,0,9.456264775,53.37546849,RAP1B;RAP1A;FLOT1,3
4840,negative regulation of mitotic cell cycle (GO:0045930),0.003668839,0.13566727,0,0,4.824624885,27.05591803,BTG2;BTG1;TGFB1;DUSP1;ZFP36L2,3
4841,regulation of cell growth (GO:0001558),0.003938571,0.144593725,0,0,2.574725558,14.25609401,CDKN2D;CEACAM1;BTG1;TGFB1;H3F3A;PPT1;RACK1;CIB1;RASGRP2;HSPA1B;HSPA1A,3
4842,MyD88-independent toll-like receptor signaling pathway (GO:0002756),0.003949849,0.143972,0,0,6.100815984,33.76239092,IKBKB;UBE2D3;RPS27A;UBA52,3
4843,antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844),0.004007055,0.145021293,0,0,4.728132388,26.09786616,RPL30;RPS19;RNASE6;PGLYRP1;RPL39,3
4844,regulation of megakaryocyte differentiation (GO:0045652),0.004007055,0.144000016,0,0,4.728132388,26.09786616,NFE2;H3F3A;HMGB2;CIB1;THBS1,3
4845,leukocyte tethering or rolling (GO:0050901),0.004285613,0.152933437,0,0,8.865248227,48.33769289,ITGA4;SELL;ITGB7,3
4846,leukocyte adhesion to vascular endothelial cell (GO:0061756),0.004285613,0.151871399,0,0,8.865248227,48.33769289,ITGA4;SELL;ITGB7,3
4847,regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229),0.004285613,0.15082401,0,0,8.865248227,48.33769289,CDKN2D;RPS3;TPT1,3
4848,negative regulation of cell cycle (GO:0045786),0.004459415,0.155865702,0,0,3.886136209,21.03463631,NR4A1;BTG2;BTG1;TGFB1;HPGD;DUSP1,3
